상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
청라꽃갈비루원시티점,인천광역시 서구 염곡로464번길 15,한식,126.67109926441,37.5263818275396,
장터삼겹살,인천광역시 남동구 경원대로 933,한식,126.689856591623,37.4660923874448,
88포차,인천광역시 미추홀구 인하로266번길 18,한식,126.677672697779,37.4472827541335,
마왕족발,인천광역시 서구 청마로51번안길 11,한식,126.67075460588,37.5918830744009,
송도소머리국밥,인천광역시 연수구 능허대로 269,한식,126.654054103925,37.4128153243905,
제이에스푸드,인천광역시 미추홀구 한나루로586번길 113-12,한식,126.678462526785,37.458133061384,
거목식당,인천광역시 연수구 벚꽃로 144,한식,126.681185041766,37.4158469304178,
마라연구소가정점,인천광역시 서구 가정로 437,중식,126.669458375255,37.523935540893,
담다초밥,인천광역시 서구 거북로 117,일식,126.674909681528,37.5033808359382,
숙성고집,인천광역시 남동구 남동대로733번길 56-12,한식,126.704224048772,37.4487938003063,
그리울,인천광역시 강화군 양사면 전망대로 795,한식,126.434659166025,37.8253649035495,
싱싱게장마을,인천광역시 미추홀구 용정공원로83번길 43,한식,126.647090650886,37.447627878373,
숯불닭갈비,인천광역시 미추홀구 미추홀대로734번길 20,한식,126.681482753637,37.4628895550451,
더케밥,인천광역시 미추홀구 한나루로477번길 117,서양식,126.660683265639,37.4506860666595,
하나비,인천광역시 계양구 경명대로 1090,일식,126.72818043749,37.5429972433629,
미얀마마을,인천광역시 부평구 광장로4번길 8,동남아시아,126.722263604314,37.4908065200157,
백년손님서서갈비,인천광역시 연수구 새말로96번길 6,한식,126.679728472328,37.4183478154262,
모해,인천광역시 연수구 송도과학로28번길 50,한식,126.657685465156,37.3793440749472,
소풍을파는가게,인천광역시 서구 청라라임로138번길 11-1,서양식,126.654644577737,37.5398948589375,
미스사이공운서넙디점,인천광역시 중구 넙디로 26,동남아시아,126.507373862017,37.4842043596686,
쑝쑝돈까스,인천광역시 서구 서곶로 754,일식,126.676726791789,37.5854755319722,
인향연마라탕,인천광역시 서구 염곡로 468,중식,126.669707358512,37.5264770528615,
별하,인천광역시 부평구 경원대로1377번길 29-4,한식,126.722098156533,37.4927342808188,
시래마루,인천광역시 연수구 청량로79번길 2,한식,126.656991624099,37.4151575122682,
기대만족계양점,인천광역시 계양구 임학동로 41,한식,126.736488294732,37.5455478761477,
쏘곱,인천광역시 남동구 선수촌공원로55번길 6,한식,126.709802114495,37.4441674202868,
춘리마라탕부평,인천광역시 부평구 부평문화로66번길 7,중식,126.723836130656,37.4936663908536,
구월전집,인천광역시 남동구 문화서로23번길 13,한식,126.695357660458,37.4475459042269,
나성특별식당,인천광역시 연수구 인천타워대로132번길 9,한식,126.641341663074,37.3853594993746,
푸드존,인천광역시 계양구 계산시장길 10-7,한식,126.724764480465,37.5395655417649,
내가찜한닭,인천광역시 미추홀구 인하로 69-2,한식,126.656181459206,37.4515200047645,
튜나킹참치정육식당,인천광역시 서구 승학로 561,한식,126.681981400637,37.5665419670892,
정씨함박,인천광역시 연수구 송도과학로16번길 33-2,서양식,126.660232226813,37.3804416536265,
스카이하우스,인천광역시 중구 신도시북로 89,한식,126.489260753734,37.5008319479594,
북해도목장,인천광역시 부평구 경원대로1403번길 5,한식,126.724872385317,37.4916956087687,
무청감자탕계양,인천광역시 계양구 오조산로45번길 7,한식,126.737736665332,37.5348197748816,
우리동네냉삼겹,인천광역시 서구 가현로117번길 46,한식,126.665951571495,37.6100965402603,
서가네갈비탕,인천광역시 서구 건지로367번길 1-2,한식,126.682761750012,37.4972483371915,
씨싸이드경양식,인천광역시 중구 우현로39번길 9-1,서양식,126.62672419368,37.4707752587901,
냉삼회관불로지구점,인천광역시 서구 검단로744번1길 20,한식,126.685989407753,37.6120976876474,
밀내제면소제일,인천광역시 미추홀구 제일로 36,한식,126.674074860284,37.458652637059,
나동에,인천광역시 미추홀구 동주길135번길 19,한식,126.683811976035,37.457345597117,
방가네,인천광역시 옹진군 영흥면 선재로 289,한식,126.518837314793,37.2510681700557,
뚝배기이탈리아토스카나점,인천광역시 미추홀구 장천로19번길 1,서양식,126.646526656532,37.459411387024,
유한책임회사맥시멈케터링,인천광역시 서구 완정로45번길 35,한식,126.66768434652,37.5948297105114,
남촌설렁탕,인천광역시 남동구 에코중앙로 25-10,한식,126.714903604258,37.3862354880327,
홍콩반점0410부평,인천광역시 부평구 부평대로12번길 17,중식,126.724292817506,37.4924781316516,
한신우동인천가정점,인천광역시 서구 염곡로464번길 23,한식,126.672015676647,37.5263663561075,
일방통행뒷고기,인천광역시 남동구 남동대로916번길 92,한식,126.713311412979,37.4632864115536,
